measuredAt	commit	seed	map	ticks	agentsAtEnd	msPerTickWarmup	msPerTickSteady	totalMs	topPhase	node
2026-09-02T20:49:53.442Z	b95996df	42	small	200	505	75.5	355.3	57082	groups	v24.14.0
2026-09-03T17:57:30.712Z	1c725457	42	small	200	511	39.4	72.9	12917	agent_decision	v24.14.0
2026-09-03T18:55:00.360Z	7f6b1321	42	small	200	511	48.7	112.6	19339	agent_decision	v24.14.0
2026-09-04T05:41:47.775Z	d8861ca6	42	small	200	511	38.5	82.7	14348	agent_decision	v24.14.0
2026-09-04T05:55:20.593Z	d8861ca6	42	small	200	511	38.8	70.9	12590	agent_decision	v24.14.0
2026-09-04T06:55:55.020Z	06c6f8f9	42	small	200	511	55.1	117.8	20436	agent_decision	v24.14.0
2026-09-04T07:55:43.770Z	7fd33ed7	42	small	200	511	38.4	70.5	12498	agent_decision	v24.14.0
2026-09-04T08:55:49.331Z	05c4761c	42	small	200	511	47.0	82.9	14802	agent_decision	v24.14.0
2026-09-04T09:55:10.755Z	bd71928e	42	small	200	511	43.8	81.3	14398	agent_decision	v24.14.0
2026-09-04T10:55:54.360Z	89ca5117	42	small	200	511	46.6	86.1	15261	agent_decision	v24.14.0
2026-09-04T11:55:39.956Z	4e124c27	42	small	200	511	37.3	84.1	14486	agent_decision	v24.14.0
2026-09-04T12:55:24.833Z	e9d92f6c	42	small	200	511	41.6	91.5	15822	agent_decision	v24.14.0
2026-09-04T13:56:11.759Z	1af966a5	42	small	200	511	37.0	73.7	12912	agent_decision	v24.14.0
2026-09-06T11:24:08.683Z	5c37c7dd	42	small	200	511	38.2	94.8	16138	agent_decision	v24.14.0
2026-09-06T11:55:44.872Z	45639a9b	42	small	200	511	38.0	84.8	14627	agent_decision	v24.14.0
2026-09-06T12:55:14.828Z	4ced52a8	42	small	200	511	37.5	84.8	14605	agent_decision	v24.14.0
2026-09-06T13:55:44.357Z	64358319	42	small	200	511	38.2	81.8	14192	agent_decision	v24.14.0
2026-09-06T14:55:55.142Z	e482f33b	42	small	200	511	39.3	73.2	12953	agent_decision	v24.14.0
2026-09-06T15:55:45.991Z	2ad1c1c8	42	small	200	511	41.3	119.5	20003	agent_decision	v24.14.0
2026-09-06T16:55:27.427Z	33a3eb10	42	small	200	511	38.4	111.5	18659	agent_decision	v24.14.0
2026-09-06T22:54:44.693Z	87e0200a	42	small	200	511	39.1	112.7	18878	agent_decision	v24.14.0
2026-09-06T23:56:00.890Z	c9958003	42	small	200	511	38.1	102.2	17253	agent_decision	v24.14.0
2026-09-07T00:55:03.135Z	759e661d	42	small	200	511	38.0	105.4	17723	agent_decision	v24.14.0
2026-09-07T01:55:43.609Z	4a394e3e	42	small	200	511	39.2	108.6	18254	agent_decision	v24.14.0
2026-09-07T02:55:07.042Z	cf41033e	42	small	200	511	38.7	108.2	18173	agent_decision	v24.14.0
2026-09-07T03:55:46.924Z	6260806b	42	small	200	511	38.7	109.1	18318	agent_decision	v24.14.0
2026-09-07T04:55:31.849Z	c798bc91	42	small	200	511	40.8	113.9	19135	agent_decision	v24.14.0
2026-09-07T05:54:56.097Z	e4e3706a	42	small	200	511	39.1	111.0	18621	agent_decision	v24.14.0
2026-09-07T06:55:48.959Z	e4e3706a	42	small	200	511	41.3	117.0	19634	agent_decision	v24.14.0
2026-09-07T07:54:53.965Z	e4e3706a	42	small	200	511	43.4	116.5	19658	agent_decision	v24.14.0
2026-09-07T08:55:59.347Z	e4e3706a	42	small	200	511	41.1	120.1	20082	agent_decision	v24.14.0
2026-09-07T09:49:27.328Z	e4e3706a	42	small	200	511	39.8	70.7	12607	agent_decision	v24.14.0
2026-09-07T10:55:28.052Z	1d423bd6	42	small	200	511	39.0	86.9	14994	agent_decision	v24.14.0
2026-09-07T11:55:41.533Z	1d423bd6	42	small	200	511	39.7	73.1	12955	agent_decision	v24.14.0
2026-09-07T12:55:48.323Z	78d76214	42	small	200	511	42.5	88.9	15476	agent_decision	v24.14.0
2026-09-07T13:55:26.779Z	d40cbeec	42	small	200	511	39.9	72.0	12796	agent_decision	v24.14.0
2026-09-07T14:55:32.536Z	d40cbeec	42	small	200	511	41.3	117.9	19753	agent_decision	v24.14.0
2026-09-07T15:55:04.293Z	67a13f4f	42	small	200	511	37.4	103.5	17403	agent_decision	v24.14.0
2026-09-08T16:55:11.280Z	3baa95fc	42	small	200	509	51.1	110.0	19064	agent_decision	v24.14.0
2026-09-08T17:54:33.326Z	03da0b3c	42	small	200	509	47.5	68.4	12639	agent_decision	v24.14.0
2026-09-08T18:55:10.521Z	06d6a86c	42	small	200	509	46.8	66.3	12294	agent_decision	v24.14.0
2026-09-08T19:55:24.141Z	06d6a86c	42	small	200	505	55.5	69.0	13140	agent_decision	v24.14.0
2026-09-08T20:56:05.017Z	f19fb632	42	small	200	500	48.4	65.1	12198	agent_decision	v24.14.0
2026-09-08T21:56:07.216Z	c9d1e73f	42	small	200	497	48.8	62.3	11792	agent_decision	v24.14.0
2026-09-08T22:55:06.080Z	a87e8f24	42	small	200	497	49.4	63.9	12065	agent_decision	v24.14.0
2026-09-08T23:54:59.065Z	a87e8f24	42	small	200	497	48.6	62.2	11778	agent_decision	v24.14.0
2026-09-09T00:54:50.620Z	a87e8f24	42	small	200	497	49.8	63.7	12053	agent_decision	v24.14.0
2026-09-09T01:55:26.171Z	a87e8f24	42	small	200	497	49.8	63.9	12086	agent_decision	v24.14.0
2026-09-09T19:59:30.864Z	a87e8f24	42	small	200	497	53.4	97.2	17259	agent_decision	v24.14.0
2026-09-09T20:55:25.412Z	781ddb06	42	small	200	497	49.2	63.0	11918	agent_decision	v24.14.0
2026-09-09T21:56:06.885Z	6d77c36c	42	small	200	504	47.6	64.9	12118	agent_decision	v24.14.0
2026-09-09T22:55:19.146Z	6d77c36c	42	small	200	504	46.7	65.3	12137	agent_decision	v24.14.0
2026-09-09T23:55:39.690Z	5fd85f0e	42	small	200	504	46.8	64.4	12012	agent_decision	v24.14.0
2026-09-10T00:55:16.343Z	5fd85f0e	42	small	200	504	50.3	71.4	13235	agent_decision	v24.14.0
2026-09-10T01:54:54.087Z	26acd1dd	42	small	200	504	49.8	69.1	12859	agent_decision	v24.14.0
2026-09-10T02:56:05.364Z	bb6a7288	42	small	200	504	49.4	69.0	12833	agent_decision	v24.14.0
2026-09-10T03:56:37.780Z	102ef17e	42	small	200	504	49.2	67.8	12636	agent_decision	v24.14.0
2026-09-10T04:55:45.131Z	78d2f667	42	small	200	504	49.6	68.5	12763	agent_decision	v24.14.0
2026-09-10T05:55:28.824Z	ccc1e874	42	small	200	504	50.1	69.5	12946	agent_decision	v24.14.0
2026-09-10T06:57:15.885Z	910d95b0	42	small	200	504	57.2	116.5	20349	agent_decision	v24.14.0
2026-09-10T07:56:50.806Z	b5569a1b	42	small	200	504	56.1	123.1	21293	agent_decision	v24.14.0
2026-09-10T08:56:27.867Z	d11521ab	42	small	200	504	51.6	102.2	17919	agent_decision	v24.14.0
2026-09-10T09:55:46.110Z	658fb08b	42	small	200	504	52.6	76.3	14086	agent_decision	v24.14.0
2026-09-10T10:55:09.039Z	12dd3ea2	42	small	200	492	52.6	116.3	20082	agent_decision	v24.14.0
2026-09-10T11:56:58.201Z	12464dfe	42	small	200	492	50.5	94.7	16738	agent_decision	v24.14.0
2026-09-10T12:55:16.934Z	6a55c3e1	42	small	200	492	49.2	105.7	18321	agent_decision	v24.14.0
2026-09-10T13:55:51.967Z	201d8a21	42	small	200	492	56.1	116.7	20325	agent_decision	v24.14.0
2026-09-10T14:57:06.184Z	7abb4672	42	small	200	492	48.7	66.3	12386	agent_decision	v24.14.0
2026-09-10T15:56:02.141Z	6f270587	42	small	200	492	48.7	86.7	15458	agent_decision	v24.14.0
2026-09-10T16:55:56.489Z	71221870	42	small	200	492	47.7	97.0	16951	agent_decision	v24.14.0
2026-09-10T17:56:21.601Z	cbe35d50	42	small	200	492	48.1	93.3	16405	agent_decision	v24.14.0
2026-09-10T18:55:30.224Z	4d0b3bee	42	small	200	492	54.6	113.6	19789	agent_decision	v24.14.0
2026-09-10T19:55:57.907Z	ffe4ba91	42	small	200	492	48.8	97.0	16998	agent_decision	v24.14.0
2026-09-10T20:57:12.786Z	ffe4ba91	42	small	200	492	48.4	98.8	17246	agent_decision	v24.14.0
2026-09-10T21:56:49.140Z	716eddde	42	small	200	500	46.2	88.6	15619	agent_decision	v24.14.0
2026-09-10T22:56:19.069Z	135a1de0	42	small	200	500	46.8	90.7	15949	agent_decision	v24.14.0
2026-09-10T23:55:40.348Z	4f0d33ba	42	small	200	483	45.4	78.8	14101	agent_decision	v24.14.0
2026-09-11T00:56:15.832Z	e7eac1ee	42	small	200	483	45.0	87.2	15344	agent_decision	v24.14.0
2026-09-11T01:56:22.468Z	e9437e55	42	small	200	483	45.2	79.5	14194	agent_decision	v24.14.0
2026-09-11T02:57:26.853Z	27176b91	42	small	200	483	45.2	86.9	15308	agent_decision	v24.14.0
2026-09-11T03:57:01.208Z	587626f8	42	small	200	493	44.9	100.4	17310	agent_decision	v24.14.0
2026-09-11T04:56:31.042Z	f93a601d	42	small	200	493	44.4	94.6	16420	agent_decision	v24.14.0
2026-09-11T05:57:41.179Z	089bc19b	42	small	200	493	44.4	99.4	17142	agent_decision	v24.14.0
